Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESCRIVÃES, NOTÁRIOS E REGISTRADORES NO ESTADO DO PARANÁ - SICREDI CREDENOREG PR;6078926;b3S;S4;I;2;CURITIBA;PR;dez/25;116.794;30.758;64.384;91.155;82.574;25.639;4.359;0;1
ACQIO ADQUIRENCIA INSTITUICAO DE PAGAMENTO S.A.;33171211;n4;S5;C;2;SAO PAULO;SP;dez/25;114.230;0;680;111.258;66.332;2.971;-7.048;1;0
DELCRED SOCIEDADE DE CRÉDITO DIRETO S.A.;38224857;n1;S5;I;2;ARACAJU;SE;dez/25;113.710;12.733;0;81.980;71.470;31.730;2.450;2;0
CREDITÁ S/A CRÉDITO, FINANCIAMENTO E INVESTIMENTO;12599971;n1;S5;I;2;PORTO ALEGRE;RS;dez/25;113.706;77.257;25.404;57.009;56.149;56.697;-1.059;2;0
COOPERATIVA DE CRÉDITO MÚTUO DE LIVRE ADMISSÃO DA REGIÃO ADMINISTRATIVA DE SOROCABA - SICOOB COOPERASO;10175348;b3S;S5;I;2;SOROCABA;SP;dez/25;113.504;44.403;51.172;96.184;93.151;17.321;700;0;4
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SISTEMA DE JUSTIÇA NO ESTADO DO CEARÁ - SICREDI COOPERJURIS;8041950;b3S;S4;I;2;FORTALEZA;CE;dez/25;113.142;55.174;16.042;102.154;93.709;10.988;116;0;2
COOPERATIVA DE CRÉDITO COGEM;44401800;b3S;S5;I;2;SAO BERNARDO DO CAMPO;SP;dez/25;109.877;74.802;29.953;22.435;4.837;87.442;6.316;0;9
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO - COOPERSERV;5667301;b3S;S5;I;2;LENCOIS PAULISTA;SP;dez/25;109.657;48.417;50.345;87.125;83.062;22.532;292;0;3
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL MARANHENSE - SICOOB SUL MARANHENSE;26526166;b3S;S5;I;2;BALSAS;MA;dez/25;108.828;69.858;7.968;83.046;79.958;25.782;-22;0;0
BANCO DE LA NACION ARGENTINA;33042151;b1;S4;I;3;SAO PAULO;SP;dez/25;108.500;40.070;5.320;77.120;38.669;31.380;-3.929;2;0
NOVA FUTURA CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;4257795;n2;S4;I;2;SAO PAULO;SP;dez/25;107.922;0;65.570;74.859;49.775;33.063;2.508;2;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS PROFISSIONAIS MÉDICOS E DA SAÚDE DE CURITIBA E REGIÃO METROPOLITANA - SICREDI MEDICRED PR;2924977;b3S;S4;I;2;CURITIBA;PR;dez/25;107.044;39.173;42.338;93.720;79.799;13.324;1.303;0;2
JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO;4230630;n1;S5;I;2;SAO PAULO;SP;dez/25;106.682;47.265;50.199;25.020;0;81.662;5.615;2;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO NORDESTE - SICOOB CENTRO NORDESTE;3102185;b3S;S5;I;2;JOAO PESSOA;PB;dez/25;106.593;54.847;6.272;84.193;80.891;22.401;1.166;0;3
FLAGSHIP INSTITUICAO DE PAGAMENTO LTDA;23114447;n4;NA;I;2;SAO PAULO;SP;dez/25;105.967;0;387;89.934;82.254;16.033;988;1;0
COOPERATIVA DE CRÉDITO DE SÃO FRANCISCO DE SALES LTDA. - SICOOB CREDISALES;1374196;b3S;S5;I;2;SAO FRANCISCO DE SALES;MG;dez/25;105.775;87.140;3.903;79.074;54.053;26.701;3.011;0;0
PAGME INSTITUIÇÃO DE PAGAMENTO LTDA.;34471744;n4;NA;I;2;ITAJAI;SC;dez/25;104.977;0;605;99.861;96.142;5.116;2.811;1;0
UY3 SOCIEDADE DE CRÉDITO DIRETO S/A;39587424;n1;S5;I;2;PORTO ALEGRE;RS;dez/25;104.942;12.610;2.541;85.346;72.403;19.596;7.774;2;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS - SICOOB COOPERPLAN CREDSEF;3603683;b3S;S5;I;2;BRASILIA;DF;dez/25;104.461;75.573;14.977;71.702;67.813;32.759;3.765;0;1
BK INSTITUIÇÃO DE PAGAMENTO S.A.;16814330;n4;NA;I;2;BARUERI;SP;dez/25;104.167;0;8.108;81.163;8.249;23.003;-15.009;1;0
COOPERATIVA DE CRÉDITO DOS EMPRESÁRIOS DE MANAUS - SICOOB CREDEMPRESAS-AM;10808037;b3S;S5;I;2;MANAUS;AM;dez/25;103.684;55.003;4.385;91.529;90.501;12.155;1.607;0;0
SOMAPAY SOCIEDADE DE CRÉDITO DIRETO S.A.;44705774;n1;S5;I;2;FORTALEZA;CE;dez/25;102.733;12.853;44.220;92.324;75.105;10.409;4.293;2;0
AGENCIA DE FOMENTO DO RIO GRANDE DO NORTE S.A.;3848103;n1;S4;I;1;NATAL;RN;dez/25;102.627;60.553;37.500;33.484;11.878;69.143;2.514;2;0
FAIR CORRETORA DE CAMBIO S.A.;32648370;n2;S4;I;2;SAO PAULO;SP;dez/25;101.740;0;26.402;59.659;0;42.080;6.232;3;0
GALAX PAY INSTITUIÇÃO DE PAGAMENTO S.A.;30765018;n4;S4;C;3;BARUERI;SP;dez/25;101.605;0;122;79.270;2.784;22.335;4.832;1;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS POLICIAIS FEDERAIS DO RIO GRANDE DO SUL E SANTA CATARINA - SICREDI POL RS/SC;3000142;b3S;S4;I;2;PORTO ALEGRE;RS;dez/25;101.132;61.041;15.527;92.160;78.773;8.971;880;0;2
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA  NESTLÉ - NESCRED;62562012;b3S;S5;I;2;SAO PAULO;SP;dez/25;100.599;45.529;51.267;3.004;0;97.595;5.337;0;1
CREDISIS OESTE - COOPERATIVA DE CRÉDITO E INVESTIMENTO DO OESTE;4985665;b3S;S5;I;2;ESPIGAO D'OESTE;RO;dez/25;100.234;54.916;5.443;75.164;56.198;25.070;3.315;0;0
PAY2ALL INSTITUICAO DE PAGAMENTO LTDA;44815065;n4;NA;I;3;SAO PAULO;SP;dez/25;100.032;0;0;89.707;86.524;10.324;6.174;1;0
COOPERATIVA DE CRÉDITO MÚTUO - SICOOB CREDIACISC;7669921;b3S;S5;I;2;SAO CARLOS;SP;dez/25;99.448;32.023;63.111;85.030;83.427;14.418;1.320;0;4
NVIO BRASIL BITSO INSTITUIÇÃO DE PAGAMENTO LTDA;35136120;n4;S5;C;3;SAO PAULO;SP;dez/25;98.374;0;11.382;46.955;23.652;51.419;4.444;1;0
SICOOB CRED COPERCANA COOPERATIVA DE CRÉDITO;64739121;b3S;S5;I;2;SERTAOZINHO;SP;dez/25;98.338;41.429;55.299;57.673;54.704;40.665;2.495;0;1
CLARO PAY S.A. - INSTITUIÇÃO DE PAGAMENTO;34878543;n4;NA;I;3;SAO PAULO;SP;dez/25;97.601;0;0;73.711;38.912;23.890;-41.362;1;0
TRIO INSTITUICAO DE PAGAMENTO LTDA.;49931906;n4;NA;C;2;CURITIBA;PR;dez/25;97.486;0;0;91.604;88.576;5.882;7.848;1;0
KANASTRA FINANCEIRA S.A, CREDITO, FINANCIAMENTO E INVESTIMENTO;49288113;n1;S4;C;3;UBERLANDIA;MG;dez/25;96.845;47;73.261;18.478;14.854;78.367;2.637;2;0
A55 SOCIEDADE DE CRÉDITO DIRETO S.A.;48756121;n1;S5;I;2;SAO PAULO;SP;dez/25;96.356;777;2.384;86.934;83.532;9.421;6.551;2;0
PROTEGE CASH INSTITUIÇÃO DE PAGAMENTO S.A.;40276692;n4;NA;I;2;SAO PAULO;SP;dez/25;95.318;0;1.949;83.736;72.592;11.581;1.443;1;0
ATRIA S.A.- CRÉDITO, FINANCIAMENTO E INVESTIMENTO;5956581;n1;S5;I;2;ARAUCARIA;PR;dez/25;94.507;10.202;70.220;2.955;0;91.552;8.024;2;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DAS CARREIRAS DO MINISTÉRIO PÚBLICO, TRIBUNAL DE CONTAS E SECRETARIA DA FAZENDA DO RIO GRANDE DO SUL - SICREDI MP RS;3662047;b3S;S4;I;2;PORTO ALEGRE;RS;dez/25;93.339;30.400;51.246;83.840;75.103;9.499;581;0;1
GALAPAGOS CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;28650236;n2;S4;I;2;SAO PAULO;SP;dez/25;92.631;0;2.749;65.706;59.879;26.925;-1.593;2;0
