Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento
BEETELLER INSTITUIÇÃO DE PAGAMENTO LTDA.;32074986;n4;NA;I;2;CAMPO GRANDE;MS;dez/25;15.464;0;4.083;7.359;6.772;8.105;2.779;1;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA NOVELIS;57545436;b3S;S5;I;2;SANTO ANDRE;SP;dez/25;15.457;9.314;5.284;907;0;14.550;505;0;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DO GRUPO BAYER E EMPRESAS QUÍMICAS E FARMACÊUTICAS DO ESTADO DO RIO DE JANEIRO LTDA.;73631483;b3S;S5;I;2;BELFORD ROXO;RJ;dez/25;15.396;7.690;5.111;1.081;0;14.315;766;0;0
MICROCASH SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.;45756448;n1;S5;I;2;SAO PAULO;SP;dez/25;15.382;0;2.691;11.554;6.706;3.829;6.649;2;0
COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS DO CENTRO UNIVERSITÁRIO NEWTON PAIVA LTDA. - CREDIPAIVA;20833992;b3S;S5;I;2;BELO HORIZONTE;MG;dez/25;15.250;2.315;11;6.763;5.246;8.487;87;0;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES MUNICIPAIS DE POÇOS DE CALDAS LTDA. - COOPOÇOS;41791005;b3S;S5;I;2;POCOS DE CALDAS;MG;dez/25;15.220;11.890;1.387;2.504;543;12.716;-282;0;0
SUDACRED SOCIEDADE DE CRÉDITO DIRETO S.A.;20251847;n1;S5;I;2;CURITIBA;PR;dez/25;14.849;12.067;262;3.197;37;11.652;1.468;2;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES MUNICIPAIS DE ITABIRA LTDA. - SICOOB COSEMI;16651002;b3S;S5;I;2;ITABIRA;MG;dez/25;14.364;11.645;1.612;5.186;3.004;9.178;-16;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E SERVIÇOS FINANCEIROS;5491616;b3S;S5;I;2;MINEIROS;GO;dez/25;14.252;11.097;0;13.293;10.873;958;-1.340;0;1
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS DO PODER EXECUTIVO FEDERAL NO ESTADO DO ESPÍRITO SANTO - CREDES;3639902;b3S;S5;I;2;VITORIA;ES;dez/25;13.916;5.896;5.247;1.352;300;12.564;36;0;0
MÉRITO DTVM - FINANCEIRO;85874;n1;S4;C;2;SAO PAULO;SP;dez/25;13.905;0;10.913;3.373;2.667;10.532;774;4;0
Z1 INSTITUIÇÃO DE PAGAMENTO LTDA.;35810871;n4;NA;I;3;SAO PAULO;SP;dez/25;13.883;0;8;8.259;39;5.625;7.222;1;0
SWILE INSTITUICAO DE PAGAMENTO LTDA;37374538;n4;NA;I;3;SAO PAULO;SP;dez/25;13.727;0;6.628;10.130;1.282;3.597;-690;1;0
INVEST CORRETORA DE CÂMBIO LTDA.;17508380;n2;S5;I;2;PORTO ALEGRE;RS;dez/25;13.573;0;27;6.795;0;6.779;121;2;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS DA REGIÃO METROPOLITANA DE BELÉM - CREDISIS CREDBEM METROPOLITANA;991739;b3S;S5;I;2;BELEM;PA;dez/25;13.473;9.156;1.686;1.410;0;12.063;105;0;0
COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA DE TOLEDO E REGIÃO - CRESOL PRIMATO CREDI;53575491;b3S;S5;I;2;TOLEDO;PR;dez/25;13.160;444;1;12.662;12.143;499;23;0;2
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS PETROLEIROS NO ESTADO DE MINAS GERAIS LTDA. - COPETRO;26758433;b3S;S5;I;2;BELO HORIZONTE;MG;dez/25;13.149;11.864;269;1.718;0;11.431;-2.700;0;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MEMBROS DO MINISTÉRIO PÚBLICO DE SÃO PAULO - PROMOCRED;4478231;b3S;S5;I;2;SAO PAULO;SP;dez/25;13.125;5.722;6.724;854;0;12.271;435;0;0
ZM SOCIEDADE DE CRÉDITO DIRETO S.A.;49947715;n1;S5;I;2;AGUAS LINDAS DE GOIAS;GO;dez/25;12.970;8.586;3.768;1.176;0;11.795;2.298;2;0
PAYFACE INSTITUICAO DE PAGAMENTO S.A.;32982245;n4;NA;I;2;FLORIANOPOLIS;SC;dez/25;12.802;0;9.237;1.389;0;11.413;-6.277;1;0
LABOR SOCIEDADE CORRETORA DE CÂMBIO LTDA.;6132348;n2;S5;I;2;RECIFE;PE;dez/25;12.681;0;1.295;5.419;0;7.262;368;13;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA CONFAB;59305565;b3S;S5;I;2;PINDAMONHANGABA;SP;dez/25;12.596;8.338;4.168;397;0;12.198;680;0;0
ACTIVTRADES CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA.;43050917;n2;S4;I;3;FLORIANOPOLIS;SC;dez/25;12.423;0;979;1.534;241;10.889;-71;2;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DO FLEURY;71965313;b3S;S5;I;2;SAO PAULO;SP;dez/25;12.381;6.083;5.770;149;0;12.232;609;0;0
COOPERATIVA DE ECONOMIA E CREDITO MUTUO JOHN F. KENNEDY LTDA;33735192;b3S;S5;I;2;RIO DE JANEIRO;RJ;dez/25;12.324;7.277;2.251;4.755;3.451;7.569;60;0;2
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DO GRUPO COMOLATTI - SÃO PAULO;47196084;b3S;S5;I;2;SAO PAULO;SP;dez/25;12.268;6.380;5.227;1.086;0;11.182;875;0;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA BOMBRIL;57038408;b3S;S5;I;2;SAO BERNARDO DO CAMPO;SP;dez/25;12.258;9.662;2.576;2.089;0;10.169;554;0;0
INTEGRAL ACCESS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;34978626;n2;S4;I;2;SAO PAULO;SP;dez/25;12.236;0;527;11.613;0;622;-93;2;0
CONPAY INSTITUIÇÃO DE PAGAMENTO E TECNOLOGIA S.A;31531997;n4;NA;I;2;JOAO PESSOA;PB;dez/25;12.227;0;6.803;4.681;623;7.546;2.206;1;0
ONCRED - SOCIEDADE DE CRÉDITO DIRETO S.A.;44650156;n1;S5;I;2;SAO CAETANO DO SUL;SP;dez/25;12.161;2.303;8.192;1.952;0;10.210;3.997;2;0
PAY BROKERS IP INSTITUICAO DE PAGAMENTO LTDA.;40820176;n4;NA;I;2;CURITIBA;PR;dez/25;12.158;0;1.634;6.684;1.440;5.474;-52;1;0
PAGARE INSTITUICAO DE PAGAMENTO S.A.;25104230;n4;NA;C;2;SAO PAULO;SP;dez/25;12.138;336;0;9.564;1.370;2.574;-2.775;1;0
NIKOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;87963450;n2;S4;I;2;RIO DE JANEIRO;RJ;dez/25;12.118;0;1.184;5.801;0;6.317;-1.821;2;0
COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS DA SKF E COLIGADAS;49091119;b3S;S5;I;2;CAJAMAR;SP;dez/25;12.055;7.090;4.962;273;0;11.781;898;0;0
AMARIL FRANKLIN CORRETORA DE TÍTULOS E VALORES LTDA;17312661;n2;S4;I;2;BELO HORIZONTE;MG;dez/25;12.003;0;1.850;2.585;938;9.419;-1.015;2;0
H.COMMCOR DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;1788147;n2;S4;I;2;SAO PAULO;SP;dez/25;11.808;0;7.704;6.228;0;5.580;-1.670;2;0
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS SERVIDORES ESTATUTARIOS DA ADMINISTRAÇÃO DIRETA DO ESTADO DO ESPIRITO SANTO - COOPSERVIDOR ES;2475222;b3S;S5;I;2;VITORIA;ES;dez/25;11.726;8.822;2.129;4.944;3.446;6.782;-10;0;0
CORRETORA DE CÂMBIO AÇORIANA LIMITADA.;15761217;n2;S5;I;2;MANAUS;AM;dez/25;11.583;0;305;8.986;0;2.597;343;2;0
RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;72600026;n2;S4;I;3;SAO PAULO;SP;dez/25;11.472;0;6.950;3.304;86;8.168;-720;2;0
DILLON S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS;33851064;n2;S4;I;2;RIO DE JANEIRO;RJ;dez/25;11.447;0;5.635;2.979;1.060;8.468;558;3;0
CREDJUST - COOPERATIVA DE CRÉDITO MÚTUO DOS INTEGRANTES DA JUSTIÇA DO TRABALHO DA 13- REGIÃO LTDA.;4608925;b3S;S5;I;2;JOAO PESSOA;PB;dez/25;11.260;10.131;195;4.086;3.799;7.174;89;0;1
KIKAI SOCIEDADE DE CRÉDITO DIRETO S.A.;43978697;n1;S5;I;2;BARUERI;SP;dez/25;11.222;0;127;5.332;5.037;5.890;552;2;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FABRICANTES DE CALÇADOS DE SAPIRANGA LTDA.;5841967;b3S;S5;I;2;SAPIRANGA;RS;dez/25;11.121;6.670;856;5.111;4.196;6.009;173;0;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA JOYSON SAFETY SYSTEMS - COOPERJSS;47944277;b3S;S5;I;2;JUNDIAI;SP;dez/25;11.078;198;16;2.037;0;9.041;-306;0;0
INTERCAM CORRETORA DE CÂMBIO LTDA.;34265629;n2;S4;I;2;SAO PAULO;SP;dez/25;11.070;0;5.513;6.870;0;4.200;-279;2;0
DAUX SOCIEDADE DE CRÉDITO DIRETO S.A.;34846868;n1;S5;I;2;LINS;SP;dez/25;11.035;8.111;2.801;953;0;10.082;932;2;0
COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS DA PILKINGTON BRASIL;2104058;b3S;S5;I;2;CACAPAVA;SP;dez/25;10.804;6.585;3.661;252;0;10.552;572;0;0
COOPERATIVA DE CRÉDITO RURAL DOS PLANTADORES DE CANA DA REGIÃO DE IGARAPAVA;52623311;b3S;S5;I;2;IGARAPAVA;SP;dez/25;10.755;6.044;0;1.687;0;9.069;114;0;0
SENSO CORRETORA DE CAMBIO E VALORES MOBILIARIOS S.A;17352220;n2;S4;I;2;RIO DE JANEIRO;RJ;dez/25;10.595;0;0;11.445;0;-851;-1.595;2;0
CREDI-SHOP - SOCIEDADE DE CRÉDITO DIRETO S.A.;54733010;n1;S5;C;2;TERESINA;PI;dez/25;10.465;488;9.783;131;0;10.334;206;2;0
ASAAS SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;48786608;n1;S4;C;2;JOINVILLE;SC;dez/25;10.410;218;10.028;133;0;10.277;297;2;0
G5 SOCIEDADE DE CRÉDITO DIRETO S.A.;51212088;n1;S5;I;2;SAO JOSE;SC;dez/25;10.268;4.397;730;1.084;1.043;9.184;274;2;0
BARU;52656;n1;S4;C;2;PORTO ALEGRE;RS;dez/25;10.183;8.091;1.938;1.377;0;8.806;-466;4;0
HSCM - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.;7693858;n1;S5;I;2;IBIA;MG;dez/25;10.121;6.968;414;2.432;0;7.689;563;2;0
MULTICRED SOCIEDADE DE CRÉDITO DIRETO S.A.;38593706;n1;S5;I;2;SALVADOR;BA;dez/25;10.009;8.065;1.909;515;0;9.494;768;2;0
GET MONEY CORRETORA DE CÂMBIO S.A.;10853017;n2;S5;I;2;SAO PAULO;SP;dez/25;10.005;0;1.596;2.170;0;7.836;452;2;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA ELGIN;45045671;b3S;S5;I;2;MOGI DAS CRUZES;SP;dez/25;10.004;6.108;3.464;857;0;9.147;423;0;0
SOCIALCRED S/A - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE;4316357;n1;S5;I;2;RIO DE JANEIRO;RJ;dez/25;9.890;8.926;250;126;0;9.764;480;2;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA SECRETARIA DE DEFESA SOCIAL DO ESTADO DE MINAS GERAIS LTDA. - COOPSESP;5746715;b3S;S5;I;2;BELO HORIZONTE;MG;dez/25;9.799;4.473;4.930;712;0;9.087;109;0;0
IDEA MAKER INSTITUICAO DE PAGAMENTO LTDA;45860531;n4;NA;I;2;SAO PAULO;SP;dez/25;9.659;0;8.489;9.193;6.238;466;-2.636;1;0
PENTAGONO S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS;17343682;n2;S5;I;2;RIO DE JANEIRO;RJ;dez/25;9.634;0;8.344;5.052;0;4.582;4.612;3;0
SCB CRÉDITO SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.;8430732;n1;S5;I;2;FORTALEZA;CE;dez/25;9.628;7.844;0;6.403;0;3.226;527;2;0
COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES DA SEGURANÇA PÚBLICA DE SÃO PAULO - CREDIAFAM;4804353;b3S;S5;I;2;SAO PAULO;SP;dez/25;9.538;3.174;6.273;612;0;8.926;195;0;0
PAGPRIME INSTITUICAO DE PAGAMENTO LTDA;30944783;n4;NA;I;2;GOIANIA;GO;dez/25;9.504;0;0;4.110;2.721;5.394;1.978;1;0
QUADRA SOCIEDADE DE CRÉDITO DIRETO S.A.;49555647;n1;S5;I;2;SAO PAULO;SP;dez/25;9.495;0;9.492;6.171;5.441;3.324;423;2;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA FACULDADE DE CIÊNCIAS AGRÁRIAS E VETERINÁRIAS - CAMPUS DE JABOTICABAL/SP - COOPERFAC;57259525;b3S;S5;I;2;JABOTICABAL;SP;dez/25;9.446;8.687;440;647;0;8.799;202;0;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA MORLAN - CRED MORLAN;731320;b3S;S5;I;2;ORLANDIA;SP;dez/25;9.438;7.718;619;1.105;0;8.333;587;0;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DO DISTRITO FEDERAL LTDA. - COOSERVCRED;778858;b3S;S5;I;2;BRASILIA;DF;dez/25;9.431;7.915;32;4.143;3.433;5.288;21;0;0
NOSSA TERRA BRASIL COOPERATIVA DE CRÉDITO;49204605;b3S;S5;I;2;CAJATI;SP;dez/25;9.379;4.977;4.193;303;0;9.076;450;0;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO ALIANÇA - COOPERNITRO;52935442;b3S;S5;I;2;SAO PAULO;SP;dez/25;9.210;6.505;2.613;289;0;8.921;-202;0;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS TRABALHADORES NAS INDÚSTRIAS DE EXTRAÇÃO DE FERRO E METAIS BÁSICOS DA REGIÃO DE CONGONHAS LTDA. - COOFERSE;71384697;b3S;S5;I;2;CONGONHAS;MG;dez/25;9.160;6.825;1.213;854;0;8.307;301;0;0
CRETOVALE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS TRABALHADORES DA VALE;28145589;b3S;S5;I;2;VITORIA;ES;dez/25;9.140;3.667;5.146;1.667;0;7.473;110;0;1
FONTECRED - SOCIEDADE DE CRÉDITO DIRETO S/A;33890605;n1;S5;I;2;LAGOA DA PRATA;MG;dez/25;9.017;3.202;2.096;5.450;837;3.567;968;2;0
LEV DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;45457891;n2;S4;I;2;SAO PAULO;SP;dez/25;8.987;0;5.762;3.936;390;5.051;16;2;0
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS SERVIDORES DA EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS LTDA;42100982;b3S;S5;I;2;RIO DE JANEIRO;RJ;dez/25;8.955;1.342;9;342;195;8.612;33;0;1
APROMS NET INSTITUICAO DE PAGAMENTO LTDA.;37168145;n4;NA;I;2;DOURADOS;MS;dez/25;8.847;899;4.927;1.563;417;7.284;209;1;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA FACULDADE DE ENGENHARIA DE ILHA SOLTEIRA - COOPERFEIS;96409263;b3S;S5;I;2;ILHA SOLTEIRA;SP;dez/25;8.758;6.479;2.041;196;0;8.562;387;0;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DO GRUPO TELEFÔNICA;57598120;b3S;S5;I;2;SAO PAULO;SP;dez/25;8.687;5.749;2.384;365;0;8.322;306;0;0
SETHI SOCIEDADE DE CRÉDITO DIRETO S.A.;50946592;n1;S5;I;2;FLORIANOPOLIS;SC;dez/25;8.612;2.886;5.274;160;0;8.452;269;2;0
UNICRED DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;53899051;n2;S4;I;2;PORTO ALEGRE;RS;dez/25;8.420;0;8.080;862;0;7.558;708;1;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA SAINT-GOBAIN DO BRASIL PRODUTOS INDUSTRIAIS E PARA CONSTRUÇÃO - DIVISÃO VIDRO PLANO;48140925;b3S;S5;I;2;MAUA;SP;dez/25;8.387;4.519;3.564;774;0;7.614;432;0;0
DELTA GLOBAL SOCIEDADE DE CRÉDITO DIRETO S.A.;55823094;n1;S4;I;2;SAO PAULO;SP;dez/25;8.291;7.656;353;2.558;0;5.734;3.414;2;0
ATICCA - SOCIEDADE DE CRÉDITO DIRETO S.A.;44478623;n1;S5;I;2;ARARAQUARA;SP;dez/25;8.178;2.472;2.012;2.605;2.488;5.573;84;2;0
COOPSEBRAE - COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS DO SEBRAE/PB, SEBRAE/RN, SESC/PB, SENAC/PB, SENAR/PB E FAEPA/PB;41219353;b3S;S5;I;2;JOAO PESSOA;PB;dez/25;8.145;4.121;3.758;2.961;2.578;5.184;212;0;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA EATON;73077398;b3S;S5;I;2;VALINHOS;SP;dez/25;7.836;4.553;2.930;399;0;7.437;331;0;1
MAG INSTITUICAO DE PAGAMENTO LTDA;21995256;n4;NA;I;2;RIO DE JANEIRO;RJ;dez/25;7.787;0;2.425;2.614;1.579;5.173;-1.900;1;0
BELVO INSTITUICAO DE PAGAMENTO LTDA;43215815;n4;NA;I;3;SAO PAULO;SP;dez/25;7.758;0;0;15.241;0;-7.483;-10.619;1;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DO GRUPO LORENZETTI;44905255;b3S;S5;I;2;SAO PAULO;SP;dez/25;7.717;2.548;4.398;1.222;0;6.495;425;0;0
GERU SOCIEDADE DE CRÉDITO DIRETO S.A.;37763847;n1;S5;I;3;RIO DE JANEIRO;RJ;dez/25;7.594;799;699;1.039;532;6.555;251;2;0
NUMBRS SOCIEDADE DE CRÉDITO DIRETO S.A.;38129006;n1;S5;I;2;SAO PAULO;SP;dez/25;7.574;0;5.335;2.530;2.024;5.044;143;2;0
EWALLY INSTITUIÇÃO DE PAGAMENTO S.A.;714671;n4;NA;I;2;SAO PAULO;SP;dez/25;7.486;0;6;7.725;5.445;-239;-4.988;1;0
EFX CORRETORA DE CÂMBIO LTDA.;94968518;n2;S4;I;2;SAO PAULO;SP;dez/25;7.417;0;0;6.025;0;1.392;350;2;0
TROCKA CORRETORA DE CAMBIO LTDA.;30183111;n2;S4;I;2;RIO DE JANEIRO;RJ;dez/25;7.416;0;2.298;5.902;0;1.514;79;2;0
BRX CORRETORA DE CÂMBIO LTDA.;17904906;n2;S4;I;2;RIO DE JANEIRO;RJ;dez/25;7.351;0;0;5.756;0;1.595;-66;2;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA MOSAIC FERTILIZANTES DE UBERABA - COPERURA LTDA.;17607375;b3S;S5;I;2;UBERABA;MG;dez/25;7.337;3.212;3.311;519;0;6.818;417;0;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DAS EMPRESAS DO GRUPO DANA - COOPDANA;91018408;b3S;S5;I;2;GRAVATAI;RS;dez/25;7.325;5.570;0;450;0;6.874;227;0;0
LEVYCAM - CORRETORA DE CAMBIO E VALORES LTDA.;50579044;n2;S4;I;2;SAO PAULO;SP;dez/25;7.165;0;0;4.134;0;3.030;279;4;0
VERT DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;48967968;n2;S4;I;2;SAO PAULO;SP;dez/25;7.095;0;1.241;3.911;2.585;3.184;2.438;2;0
MONETARIE SOCIEDADE DE CRÉDITO DIRETO S.A.;46026562;n1;S5;I;2;PORTO ALEGRE;RS;dez/25;7.042;893;0;2.697;2.341;4.344;-1.076;2;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DAS EMPRESAS DE CERÂMICA - COOPASPACER;2541707;b3S;S5;I;2;SANTA GERTRUDES;SP;dez/25;7.040;3.175;3.495;1.361;962;5.679;321;0;0
RAPIDIUM SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE S.A.;40269467;n1;S5;I;2;TOLEDO;PR;dez/25;7.033;5.322;843;4.260;4.069;2.773;-1.516;2;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA MAGNESITA REFRATÁRIOS S.A. LTDA. - CECREM;913314;b3S;S5;I;2;CONTAGEM;MG;dez/25;6.981;1.636;4.938;414;0;6.567;179;0;0
INSTITUIÇÃO DE PAGAMENTOS MAPS LTDA.;45548763;n4;NA;I;2;SAO PAULO;SP;dez/25;6.972;0;5.973;1.674;82;5.297;-1.593;1;0
LB PAY INSTITUIÇÃO DE PAGAMENTO LTDA;52833288;n4;NA;I;3;SAO PAULO;SP;dez/25;6.952;0;5.748;1.281;1.108;5.671;-1.364;1;0
EXECUTIVE CORRETORA DE CÂMBIO LTDA.;19086249;n2;S5;I;2;NOVO HAMBURGO;RS;dez/25;6.905;0;27;2.985;0;3.921;601;3;0
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS EMPREGADOS DAS EMPRESAS DE TRANSPORTES COLETIVOS RODOVIÁRIOS DE PASSAGEIROS DO GRANDE RIO LTDA;141155;b3S;S5;I;2;SAO GONCALO;RJ;dez/25;6.902;1.775;3.319;514;0;6.388;56;0;1
COOPERATIVA DE CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA RICLAN;6077760;b3S;S5;I;2;RIO CLARO;SP;dez/25;6.842;3.141;3.429;443;0;6.399;284;0;0
DUFRIO FINANCEIRA, CRÉDITO, FINANCIAMENTO E INVESTIMENTOS S.A.;35479592;n1;S5;I;2;PORTO ALEGRE;RS;dez/25;6.838;2.735;3.792;364;0;6.474;-1.601;2;0
COOPERATIVA DE CRÉDITO DOS EMPREGADOS DA COMPANHIA INDUSTRIAL CATAGUASES E DA BAUMINAS LTDA. - COOPECIC;19495266;b3S;S5;I;2;CATAGUASES;MG;dez/25;6.832;4.435;2.093;1.013;0;5.819;323;0;0
DGBK CREDIT S.A. - SOCIEDADE DE CRÉDITO DIRETO.;48584954;n1;S5;I;2;SALVADOR;BA;dez/25;6.762;5.224;1.033;762;339;6.000;-243;2;0
COOPERATIVA DE ECONOMIA E CREDITO MÚTUO DOS PROFESSORES ESTADUAIS DA REGIÃO METROPOLITANA DE PORTO ALEGRE - EDUCREDI;5419025;b3S;S5;I;2;PORTO ALEGRE;RS;dez/25;6.736;942;0;1.064;0;5.673;269;0;0
LOAN BRASIL SOCIEDADE DE CRÉDITO DIRETO S.A.;50032584;n1;S5;C;2;MANAUS;AM;dez/25;6.682;0;3;446;0;6.236;138;2;0
MONOPÓLIO CORRETORA DE CÂMBIO LTDA.;34666362;n2;S4;I;2;BELEM;PA;dez/25;6.629;0;993;2.329;0;4.300;18;2;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DAS EMPRESAS ITAÚ;43446335;b3S;S5;I;2;ITAU DE MINAS;MG;dez/25;6.628;1.122;5.465;680;0;5.949;325;0;0
TURCÂMBIO - SOCIEDADE CORRETORA DE CÂMBIO LTDA.;15482499;n2;S5;I;2;IMBITUBA;SC;dez/25;6.558;0;0;1.507;0;5.051;2;10;0
A COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA BRAZIL GR LTDA.;48172860;b3S;S5;I;2;RIO CLARO;SP;dez/25;6.548;3.190;3.115;1.145;872;5.403;56;0;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DAS INDÚSTRIAS UNILEVER DO BRASIL;53272365;b3S;S5;I;2;VALINHOS;SP;dez/25;6.542;3.302;2.896;1.170;0;5.372;290;0;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DAS EMPRESAS MELHORAMENTOS DE SÃO PAULO - COOPERMEL;1504952;b3S;S5;I;2;SAO PAULO;SP;dez/25;6.517;3.048;3.427;642;0;5.875;429;0;0
BR-CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;44077014;n2;S4;I;2;SAO PAULO;SP;dez/25;6.510;0;3.613;961;0;5.549;984;2;0
MAX INSTITUIÇÃO DE PAGAMENTO LTDA;54024532;n4;NA;I;2;PORTO ALEGRE;RS;dez/25;6.454;0;6.111;738;0;5.716;-63;1;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DO GRUPO MAUÁ E EMPRESAS COLIGADAS LTDA. - COOPMAUÁ;5048575;b3S;S5;I;2;SAO GONCALO;RJ;dez/25;6.425;1.116;3.581;406;0;6.019;230;0;0
PERCAPITAL SOCIEDADE DE CRÉDITO DIRETO S.A.;48707451;n1;S5;I;2;CAMPO GRANDE;MS;dez/25;6.401;224;2.660;5.177;0;1.224;1.782;2;0
SQUID SOCIEDADE DE CRÉDITO DIRETO S.A.;56198117;n1;S5;I;2;CAXIAS DO SUL;RS;dez/25;6.393;0;3.222;1.137;0;5.257;192;2;0
BOA VIAGEM SOCIEDADE CORRETORA DE CÂMBIO LTDA.;6373777;n2;S4;I;2;RECIFE;PE;dez/25;6.381;0;0;916;0;5.465;-89;13;0
ZIPDIN SOLUÇÕES DIGITAIS SOCIEDADE DE CRÉDITO DIRETO S/A;37414009;n1;S5;I;2;SAO PAULO;SP;dez/25;6.348;779;3;3.518;0;2.830;-109;2;0
COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS DA FIAÇÃO ALPINA - COOPERALPINA;55319370;b3S;S5;I;2;MORUNGABA;SP;dez/25;6.334;3.149;2.839;260;0;6.073;358;0;0
